Round,TrainLoss,TrainAcc,TestLoss,TestAcc
512,1.87733661,0.5000,1.89671251,0.5306
513,1.95592242,0.5100,1.90889337,0.5306
514,1.73782737,0.5230,1.95506435,0.5148
515,1.69558097,0.5530,1.92566335,0.5257
516,1.93906978,0.5020,1.96801405,0.5072
517,1.82914266,0.5250,1.87949935,0.5328
518,1.78985547,0.5330,1.91364988,0.5224
519,2.02998399,0.4870,1.89402753,0.5275
520,1.95314616,0.5090,1.86774309,0.5369
521,1.95944716,0.5130,1.84795177,0.5425
522,1.88656335,0.5250,1.89304213,0.5293
523,1.86731970,0.5120,1.87837090,0.5318
524,1.70915490,0.5740,1.86754372,0.5386
525,2.02088692,0.4990,1.89297489,0.5292
526,1.83222259,0.5250,1.84352613,0.5396
527,1.99300737,0.4980,1.79811440,0.5581
528,1.97375967,0.4970,1.82289901,0.5488
529,1.76198911,0.5670,1.85449109,0.5415
530,1.85391577,0.5150,1.87873671,0.5341
531,1.72945563,0.5520,1.86534280,0.5360
532,1.87198382,0.5240,1.85753399,0.5387
533,1.77509007,0.5540,1.90651625,0.5233
534,1.75432230,0.5390,1.89560157,0.5230
535,1.85548946,0.5320,1.93991029,0.5131
536,1.76643298,0.5360,1.84768432,0.5388
537,1.82682405,0.5200,1.81350149,0.5509
538,1.83266597,0.5450,1.86625729,0.5352
539,1.86501630,0.5340,1.85655248,0.5373
540,1.88150350,0.5320,1.87731371,0.5306
541,1.84765318,0.5210,1.82111334,0.5435
542,2.05400472,0.4830,1.85229335,0.5362
543,1.73603180,0.5650,1.85498056,0.5353
544,1.76784488,0.5420,1.91205570,0.5187
545,1.92667287,0.5200,1.78119430,0.5551
546,1.75296946,0.5360,1.91277841,0.5186
547,1.55370211,0.6010,1.85507196,0.5327
548,1.88030977,0.5200,1.82572262,0.5417
549,1.81590795,0.5390,1.81711700,0.5440
550,1.82101811,0.5200,1.88571757,0.5243
551,1.70706294,0.5640,1.80625201,0.5439
552,1.69795137,0.5690,1.81235463,0.5418
553,1.83392128,0.5370,1.79295224,0.5476
554,1.80788462,0.5240,1.76798490,0.5550
555,1.91139668,0.5340,1.82430767,0.5382
556,1.74695215,0.5520,1.82543970,0.5379
557,1.66080700,0.5790,1.81801352,0.5398
558,1.77599948,0.5500,1.80414048,0.5459
559,1.63590543,0.5770,1.82399070,0.5441
560,1.78036605,0.5530,1.79146484,0.5518
561,1.58141156,0.5760,1.89490333,0.5232
562,1.81596395,0.5400,1.81603835,0.5428
563,1.77404613,0.5600,1.84577584,0.5341
564,1.60659143,0.5820,1.82743731,0.5411
565,1.77640415,0.5440,1.81469194,0.5429
566,1.77586717,0.5480,1.79906639,0.5498
567,1.72800920,0.5630,1.77231892,0.5560
568,1.89349183,0.5270,1.78955705,0.5485
569,1.66088139,0.5610,1.84136481,0.5353
570,1.83740892,0.5300,1.81207313,0.5386
571,1.57660583,0.5920,1.78150501,0.5483
572,1.91940977,0.4970,1.76803233,0.5557
573,1.75471263,0.5500,1.80474785,0.5432
574,1.78033133,0.5320,1.80671133,0.5403
575,1.61313754,0.6110,1.80273292,0.5406
576,1.68525397,0.5620,1.74814515,0.5553
