Round,TrainLoss,TrainAcc,TestLoss,TestAcc
405,0.56999860,0.8325,0.52719879,0.8273
406,0.65391109,0.8139,0.54104260,0.8207
407,0.63824635,0.8004,0.55932971,0.8044
408,0.65405135,0.8146,0.53791132,0.8149
409,0.58498594,0.8274,0.53640461,0.8234
410,0.57578948,0.8281,0.53870709,0.8226
411,0.62682096,0.8189,0.52547638,0.8285
412,0.71895706,0.7997,0.54676080,0.8195
413,0.55314035,0.8242,0.55963788,0.8144
414,0.63320059,0.7935,0.56651047,0.8058
415,0.62367365,0.8086,0.55967763,0.8094
416,0.66445322,0.8052,0.56819521,0.8075
417,0.63373138,0.8116,0.52699213,0.8268
418,0.51548717,0.8483,0.53137772,0.8243
419,0.79797953,0.7685,0.52658391,0.8276
420,0.62159157,0.8093,0.52402920,0.8286
421,0.61215797,0.8100,0.55044645,0.8145
422,0.62494466,0.8218,0.55662598,0.8119
423,0.57538124,0.8187,0.59356524,0.8028
424,0.53130290,0.8365,0.52591229,0.8240
425,0.57482709,0.8409,0.54126350,0.8181
426,0.63427886,0.8203,0.58245871,0.7994
427,0.84542161,0.7552,0.52678947,0.8213
428,0.67106898,0.8040,0.56731108,0.8038
429,0.57391047,0.8329,0.55677755,0.8072
430,0.71472012,0.7972,0.53947142,0.8165
431,0.70363665,0.7916,0.52259801,0.8270
432,0.56078247,0.8273,0.54244964,0.8166
433,0.63505848,0.8100,0.54380859,0.8086
434,0.67163701,0.7847,0.53257334,0.8164
435,0.51214441,0.8394,0.54537609,0.8132
436,0.44199887,0.8620,0.60212938,0.7938
437,0.63163260,0.8085,0.54253074,0.8133
438,0.69651311,0.7910,0.52589786,0.8258
439,0.66740622,0.8162,0.53334546,0.8212
440,0.71915973,0.7898,0.57964346,0.7999
441,0.59044484,0.8148,0.54077335,0.8177
442,0.48454045,0.8447,0.57678480,0.8070
443,0.68206727,0.7984,0.54180108,0.8181
444,0.51245225,0.8475,0.57006975,0.8068
445,0.68935968,0.7889,0.52767651,0.8242
446,0.57722911,0.8300,0.54054226,0.8147
447,0.62686603,0.8035,0.52615624,0.8230
448,0.50871912,0.8356,0.56094877,0.8109
449,0.68632582,0.8128,0.55582199,0.8150
450,0.67398371,0.8036,0.52997126,0.8186
451,0.66043891,0.7966,0.53381393,0.8224
452,0.51469254,0.8444,0.54086923,0.8253
453,0.67629745,0.7869,0.52738847,0.8267
454,0.60186040,0.8169,0.53284288,0.8237
455,0.57257325,0.8216,0.55471766,0.8200
456,0.61286836,0.8236,0.61380398,0.7961
457,0.57819820,0.8267,0.62608138,0.7915
458,0.60925609,0.8060,0.52826932,0.8257
459,0.70777851,0.8079,0.52997954,0.8230
460,0.65837684,0.8055,0.55599227,0.8113
461,0.53108032,0.8331,0.51758443,0.8302
462,0.65915982,0.8091,0.54116405,0.8162
463,0.51723541,0.8461,0.51376032,0.8310
464,0.57166344,0.8211,0.60157430,0.7967
465,0.55732003,0.8231,0.54597620,0.8097
466,0.61195329,0.8107,0.57507960,0.8061
467,0.71661694,0.7937,0.51779631,0.8271
468,0.66157401,0.7930,0.59480630,0.8003
469,0.70439472,0.8001,0.52806043,0.8259
470,0.54533168,0.8306,0.51941400,0.8278
471,0.80063446,0.7776,0.53920922,0.8222
472,0.71249674,0.8008,0.52871774,0.8256
473,0.55713810,0.8294,0.59245258,0.7973
474,0.59829899,0.8214,0.55558126,0.8110
475,0.48407219,0.8429,0.52769399,0.8249
476,0.54911759,0.8442,0.54555994,0.8189
477,0.65767272,0.7905,0.51214789,0.8311
478,0.56713372,0.8188,0.52720243,0.8244
479,0.69842847,0.7821,0.50929966,0.8313
480,0.71351936,0.7917,0.53985577,0.8188
481,0.59872286,0.8167,0.57237834,0.8121
482,0.68570146,0.7888,0.53560029,0.8222
483,0.65869291,0.8193,0.51356994,0.8277
484,0.55468334,0.8335,0.53531028,0.8219
485,0.70229476,0.7960,0.54219191,0.8168
486,0.64072345,0.8037,0.52061630,0.8216
487,0.60319356,0.8082,0.51960000,0.8256
488,0.55456986,0.8310,0.59560828,0.8028
489,0.52913008,0.8381,0.50878859,0.8302
490,0.59504239,0.8128,0.51083507,0.8305
491,0.58606648,0.8183,0.54343050,0.8139
